tract,state_abbr,lon,lat,count_prop,days_above_100_today,days_above_100_30yrs,change_days_above_100,change_perc_above_100
001000100,nj,-74.46317,39.35707,774,2,5,3,150
001000200,nj,-74.45975,39.34374,836,2,5,3,150
001000300,nj,-74.45464,39.35356,611,2,5,3,150
001000400,nj,-74.44843,39.34821,560,2,5,3,150
001000500,nj,-74.44773,39.35736,788,2,5,3,150
001001100,nj,-74.43413,39.36574,334,2,5,3,150
001001200,nj,-74.44042,39.37001,1124,2,5,3,150
001001300,nj,-74.45968,39.38675,1200,2,5,3,150
001001400,nj,-74.42851,39.37805,819,2,5,3,150
001001500,nj,-74.42606,39.36815,690,2,5,3,150
001001900,nj,-74.41019,39.36351,552,2,5,3,150
001002300,nj,-74.4386,39.35569,1129,2,5,3,150
001002400,nj,-74.42521,39.35857,1279,2,5,3,150
001002500,nj,-74.41588,39.37117,1539,2,5,3,150
001010101,nj,-74.36738,39.42265,2933,2,5,3,150
001010102,nj,-74.37304,39.39863,2120,2,5,3,150
001010104,nj,-74.38914,39.38723,1917,2,4,2,100
001010105,nj,-74.40552,39.38389,2169,2,5,3,150
001010200,nj,-74.48782,39.42456,2769,4,10,6,150
001010300,nj,-74.50863,39.41902,1138,5,11,6,120
001010401,nj,-74.57252,39.52471,5505,10,20,10,100
001010403,nj,-74.55521,39.46801,3249,9,17,8,88.9
001010501,nj,-74.41208,39.49454,4770,6,12,6,100
001010503,nj,-74.50627,39.48817,3003,6,12,6,100
001010505,nj,-74.44593,39.43861,1705,4,10,6,150
001010506,nj,-74.51596,39.45742,2154,7,14,7,100
001010600,nj,-74.59613,39.56399,4522,11,21,10,90.9
001010700,nj,-74.68052,39.60186,6194,12,23,11,91.7
001010800,nj,-74.7823,39.67642,1328,15,26,11,73.3
001010900,nj,-74.74049,39.67002,2512,15,26,11,73.3
001011000,nj,-74.80141,39.61,1325,15,26,11,73.3
001011100,nj,-74.83037,39.6311,1367,15,26,11,73.3
001011201,nj,-74.84244,39.59288,1633,14,26,12,85.7
001011202,nj,-74.88827,39.51504,9629,14,25,11,78.6
001011300,nj,-74.94477,39.52823,1838,13,24,11,84.6
001011401,nj,-74.7291,39.52192,4404,11,22,11,100
001011403,nj,-74.64262,39.46557,2548,10,20,10,100
001011404,nj,-74.67852,39.43265,8417,10,20,10,100
001011500,nj,-74.80792,39.48793,14049,12,23,11,91.7
001011600,nj,-74.77197,39.3615,8848,11,21,10,90.9
001011702,nj,-74.56148,39.4349,2035,8,16,8,100
001011703,nj,-74.6029,39.42199,2177,9,18,9,100
001011704,nj,-74.59171,39.42894,1436,9,18,9,100
001011803,nj,-74.57606,39.37016,1249,5,11,6,120
001011804,nj,-74.64123,39.34142,3082,6,14,8,133.3
001011805,nj,-74.68577,39.37499,1863,8,17,9,112.5
001011806,nj,-74.60643,39.36959,3105,6,13,7,116.7
001011807,nj,-74.59997,39.39769,3908,8,16,8,100
001011808,nj,-74.64082,39.4092,1682,9,18,9,100
001011901,nj,-74.52838,39.39886,1160,5,11,6,120
001011902,nj,-74.51875,39.40875,844,6,12,6,100
001012000,nj,-74.50284,39.38973,1412,3,8,5,166.7
001012100,nj,-74.51504,39.37356,898,5,10,5,100
001012200,nj,-74.53689,39.38845,1734,5,10,5,100
001012302,nj,-74.56247,39.37638,1388,5,11,6,120
001012401,nj,-74.54298,39.37124,1612,5,10,5,100
001012402,nj,-74.5555,39.36282,1262,5,11,6,120
001012501,nj,-74.57268,39.35788,882,5,11,6,120
001012502,nj,-74.58418,39.34104,649,5,11,6,120
001012602,nj,-74.5734,39.33159,619,5,11,6,120
001012701,nj,-74.60745,39.32897,1159,5,12,7,140
001012702,nj,-74.61933,39.31415,686,5,12,7,140
001012801,nj,-74.58872,39.32239,1420,5,11,6,120
001012802,nj,-74.60748,39.3066,1248,5,11,6,120
001013000,nj,-74.49951,39.33141,3468,2,6,4,200
001013101,nj,-74.5068,39.32541,1292,2,6,4,200
001013102,nj,-74.51183,39.3193,1900,2,6,4,200
001013201,nj,-74.47234,39.34679,865,2,5,3,150
001013202,nj,-74.47612,39.34218,847,2,6,4,200
001013301,nj,-74.49192,39.34078,1809,2,6,4,200
001013302,nj,-74.48007,39.3385,1393,2,6,4,200
001013500,nj,-74.54151,39.33119,2209,4,10,6,150
001983400,nj,-74.5359,39.48771,41,9,18,9,100
003001001,nj,-74.12512,41.03641,1236,6,13,7,116.7
003001002,nj,-74.14124,41.03011,1277,6,13,7,116.7
003002100,nj,-73.91982,40.96167,800,7,15,8,114.3
003002200,nj,-73.94255,41.00677,1886,7,15,8,114.3
003002300,nj,-73.95099,40.99333,2282,7,15,8,114.3
003003100,nj,-73.98664,40.93048,1649,7,14,7,100
003003200,nj,-73.99589,40.92531,1257,7,14,7,100
003003300,nj,-74.00483,40.9294,2002,7,14,7,100
003003401,nj,-74.01208,40.91787,846,7,14,7,100
003003402,nj,-74.00556,40.91536,1073,7,14,7,100
003003500,nj,-73.98903,40.91773,721,7,14,7,100
003004001,nj,-74.02973,40.87948,913,7,15,8,114.3
003004002,nj,-74.02907,40.87182,1376,7,15,8,114.3
003005000,nj,-74.06118,40.8247,2372,7,15,8,114.3
003006101,nj,-73.9869,40.83045,1672,6,13,7,116.7
003006102,nj,-73.99049,40.82635,887,6,13,7,116.7
003006201,nj,-73.98662,40.82153,1167,6,13,7,116.7
003006202,nj,-73.9809,40.82684,2163,6,13,7,116.7
003006301,nj,-73.99386,40.81305,683,6,14,8,133.3
003006302,nj,-73.98939,40.81443,890,6,14,8,133.3
003007001,nj,-73.97473,40.97466,1540,7,15,8,114.3
003007002,nj,-73.94853,40.97217,1819,7,14,7,100
003008001,nj,-73.95435,40.9405,2255,6,14,8,133.3
003008002,nj,-73.97121,40.94049,3065,7,14,7,100
003009100,nj,-73.95679,40.95504,1973,7,14,7,100
003009200,nj,-73.9976,40.96223,1331,7,15,8,114.3
003010100,nj,-73.98232,40.94596,1926,7,15,8,114.3
003010200,nj,-73.99492,40.94002,1040,7,15,8,114.3
003010300,nj,-73.99883,40.94696,2339,7,15,8,114.3
003011100,nj,-74.12128,40.91785,1102,8,16,8,100
003011200,nj,-74.12698,40.91051,1088,8,16,8,100
003011300,nj,-74.12343,40.89643,1359,8,16,8,100
003011400,nj,-74.11249,40.90269,1858,8,16,8,100
003012001,nj,-74.08259,40.81513,1415,7,15,8,114.3
003012002,nj,-74.11268,40.84503,1053,7,15,8,114.3
003013002,nj,-73.96645,40.83603,2332,6,14,8,133.3
003013003,nj,-73.98057,40.81118,1462,6,14,8,133.3
003013004,nj,-73.98484,40.81507,611,6,14,8,133.3
003014000,nj,-74.02389,40.97486,2609,8,16,8,100
003015100,nj,-73.96118,40.89722,978,6,14,8,133.3
003015200,nj,-73.97671,40.90726,1745,7,14,7,100
003015300,nj,-73.98674,40.89634,1648,6,13,7,116.7
003015401,nj,-73.97573,40.89579,830,6,13,7,116.7
003015402,nj,-73.98515,40.88247,666,6,13,7,116.7
003015500,nj,-73.97056,40.87922,2040,6,13,7,116.7
003016000,nj,-73.94672,40.88227,2186,6,14,8,133.3
003017101,nj,-74.11246,40.94655,1919,8,16,8,100
003017102,nj,-74.10604,40.94054,605,8,16,8,100
003017200,nj,-74.1335,40.94253,2789,8,16,8,100
003017301,nj,-74.13593,40.92833,1904,8,16,8,100
003017302,nj,-74.12629,40.93018,1690,8,16,8,100
003017400,nj,-74.10368,40.93526,2592,8,16,8,100
003017501,nj,-74.11387,40.92539,2759,8,16,8,100
003017502,nj,-74.09925,40.92467,1533,8,16,8,100
003018101,nj,-73.99828,40.81251,711,6,14,8,133.3
003018102,nj,-73.99457,40.81914,509,6,13,7,116.7
003018200,nj,-74.00431,40.81922,1603,6,13,7,116.7
003019102,nj,-73.95813,40.85768,583,6,14,8,133.3
003019103,nj,-73.97278,40.86311,519,6,14,8,133.3
003019104,nj,-73.96731,40.86054,1253,6,14,8,133.3
003019202,nj,-73.9643,40.85066,622,6,14,8,133.3
003019203,nj,-73.97494,40.85573,612,6,14,8,133.3
003019204,nj,-73.97844,40.85362,762,6,13,7,116.7
003019303,nj,-73.98122,40.8471,1395,6,13,7,116.7
003019304,nj,-73.98529,40.83644,853,6,13,7,116.7
003019305,nj,-73.97417,40.8428,1308,6,14,8,133.3
003019306,nj,-73.97806,40.83321,969,6,13,7,116.7
003020100,nj,-74.19669,41.02562,1682,4,10,6,150
003020200,nj,-74.21592,40.99752,2543,4,11,7,175
003021101,nj,-74.10933,40.88931,894,8,16,8,100
003021102,nj,-74.10861,40.88452,556,8,16,8,100
003021200,nj,-74.11996,40.88392,1362,8,16,8,100
003021300,nj,-74.10877,40.8783,1025,8,16,8,100
003021400,nj,-74.09879,40.88013,1063,8,16,8,100
003021500,nj,-74.102,40.86858,1037,8,16,8,100
003021600,nj,-74.10976,40.87015,790,8,16,8,100
003022100,nj,-74.12661,40.9672,1428,8,16,8,100
003022200,nj,-74.12426,40.95689,2739,8,16,8,100
003023100,nj,-74.03636,40.89616,824,7,15,8,114.3
003023201,nj,-74.04607,40.89856,1323,7,15,8,114.3
003023202,nj,-74.04185,40.90572,1241,7,15,8,114.3
003023301,nj,-74.05047,40.90522,1373,7,15,8,114.3
003023303,nj,-74.05187,40.8931,418,7,15,8,114.3
003023304,nj,-74.05589,40.895,891,7,15,8,114.3
003023401,nj,-74.05941,40.88806,195,7,15,8,114.3
003023402,nj,-74.05991,40.87879,1976,7,15,8,114.3
003023501,nj,-74.04724,40.88969,992,7,15,8,114.3
003023502,nj,-74.05078,40.88457,1236,7,15,8,114.3
003023601,nj,-74.03923,40.86608,1237,7,15,8,114.3
003023602,nj,-74.04476,40.87571,1268,7,15,8,114.3
003024100,nj,-73.98559,41.01639,2141,7,15,8,114.3
003024200,nj,-73.98035,40.98991,1739,7,15,8,114.3
003025100,nj,-74.07003,40.86176,1849,7,15,8,114.3
003025200,nj,-74.07995,40.86192,1988,7,15,8,114.3
003026100,nj,-74.02856,41.00826,1580,7,15,8,114.3
003026200,nj,-74.05496,41.00675,2102,7,15,8,114.3
003027000,nj,-74.09718,41.00005,1632,7,15,8,114.3
003028001,nj,-73.99326,40.86517,1467,6,13,7,116.7
003028002,nj,-73.98376,40.86128,1244,6,13,7,116.7
003029100,nj,-74.03638,40.8545,903,6,14,8,133.3
003029200,nj,-74.03966,40.84349,1746,6,14,8,133.3
003030100,nj,-74.0733,40.88329,1244,7,15,8,114.3
003030201,nj,-74.09273,40.87424,811,7,15,8,114.3
003030202,nj,-74.08762,40.88391,665,7,15,8,114.3
003030300,nj,-74.08588,40.87623,1087,7,15,8,114.3
003030401,nj,-74.08606,40.86651,567,7,15,8,114.3
003030402,nj,-74.07855,40.87327,847,7,15,8,114.3
003031100,nj,-74.10259,40.79094,1417,7,15,8,114.3
003031200,nj,-74.12494,40.81628,1334,7,15,8,114.3
003031300,nj,-74.13298,40.80952,1617,7,15,8,114.3
003031400,nj,-74.12209,40.80346,1616,7,15,8,114.3
003032102,nj,-74.18329,41.05073,2645,5,11,6,120
003032103,nj,-74.163,41.0806,2640,5,11,6,120
003032104,nj,-74.20302,41.09281,1480,4,10,6,150
003032201,nj,-74.12697,41.08343,2535,5,11,6,120
003032202,nj,-74.14221,41.09592,2460,5,11,6,120
003033100,nj,-74.06028,40.91004,1365,8,16,8,100
003033200,nj,-74.06707,40.90002,915,8,16,8,100
003033300,nj,-74.06249,40.89513,770,7,15,8,114.3
003034001,nj,-74.14338,40.99022,1003,7,14,7,100
003034002,nj,-74.13932,40.99882,1479,7,14,7,100
003035100,nj,-74.0498,41.05289,3109,6,13,7,116.7
003035200,nj,-74.06034,41.02529,2131,6,14,8,133.3
003036100,nj,-74.05569,40.86011,928,7,15,8,114.3
003036200,nj,-74.05765,40.83996,872,7,14,7,100
003037100,nj,-74.01625,40.94543,1825,7,15,8,114.3
003037201,nj,-74.01845,40.93372,1382,7,15,8,114.3
003037203,nj,-74.02419,40.9215,1192,7,15,8,114.3
003037204,nj,-74.02096,40.92579,80,7,15,8,114.3
003038100,nj,-74.12263,40.78582,1578,7,15,8,114.3
003038200,nj,-74.13591,40.7843,849,7,15,8,114.3
003038300,nj,-74.13795,40.79395,1837,7,15,8,114.3
003039100,nj,-74.2476,41.03832,1849,4,10,6,150
003039200,nj,-74.22048,41.03714,2010,4,10,6,150
003039300,nj,-74.24433,41.0124,1175,4,10,6,150
003040001,nj,-74.02896,40.96085,1200,8,16,8,100
003040002,nj,-74.0349,40.94977,1641,8,16,8,100
003041100,nj,-74.00241,40.85093,1271,6,13,7,116.7
003041200,nj,-73.99312,40.84826,1130,6,13,7,116.7
003041301,nj,-73.99782,40.84193,1174,6,13,7,116.7
003041302,nj,-73.98774,40.84473,1331,6,13,7,116.7
003042101,nj,-74.05293,40.93294,1078,7,15,8,114.3
003042102,nj,-74.05296,40.94538,1519,8,15,7,87.5
003042301,nj,-74.08513,40.9664,1478,7,15,8,114.3
003042302,nj,-74.0652,40.9637,1658,7,15,8,114.3
003042400,nj,-74.08001,40.94505,1630,8,15,7,87.5
003042500,nj,-74.0726,40.92317,1639,8,16,8,100
003043001,nj,-74.05195,41.03956,1567,6,13,7,116.7
003043002,nj,-74.03167,41.03051,1644,6,13,7,116.7
003044100,nj,-74.15754,41.05658,2020,5,11,6,120
003044201,nj,-74.13243,41.05191,1267,5,12,7,140
003044202,nj,-74.13467,41.06825,2372,5,12,7,140
003045101,nj,-74.00137,40.82794,1122,6,13,7,116.7
003045102,nj,-73.99753,40.83361,954,6,13,7,116.7
003045200,nj,-74.01962,40.83142,1040,6,13,7,116.7
003046100,nj,-74.01538,40.85136,1114,6,14,8,133.3
003046200,nj,-74.02641,40.86321,1223,7,15,8,114.3
003046300,nj,-74.0255,40.85251,1120,6,14,8,133.3
003047100,nj,-74.09674,40.98735,2025,7,15,8,114.3
003047200,nj,-74.12248,40.99721,1347,7,15,8,114.3
003047300,nj,-74.13483,40.97966,1090,8,16,8,100
003047400,nj,-74.12021,40.97822,1520,8,16,8,100
003047500,nj,-74.10271,40.9708,2184,8,16,8,100
003048100,nj,-74.03343,40.92506,989,7,15,8,114.3
003048200,nj,-74.04168,40.9278,2538,7,15,8,114.3
003049001,nj,-74.00949,41.02711,1692,7,15,8,114.3
003049002,nj,-74.00613,40.99614,1990,7,15,8,114.3
003050000,nj,-74.07911,40.90697,3116,8,16,8,100
003051100,nj,-74.11553,40.83747,1653,7,15,8,114.3
003051200,nj,-74.11787,40.82706,920,7,15,8,114.3
003051300,nj,-74.10635,40.82885,1338,7,15,8,114.3
003051400,nj,-74.09883,40.80952,1688,7,15,8,114.3
003052100,nj,-74.09769,40.9105,2596,8,16,8,100
003052200,nj,-74.09254,40.89387,1976,7,16,9,128.6
003053100,nj,-74.09558,41.0273,1451,6,13,7,116.7
003053201,nj,-74.0961,41.05666,1593,5,12,7,140
003053202,nj,-74.10121,41.07098,1267,5,11,6,120
003054101,nj,-73.99467,40.90243,1390,7,14,7,100
003054102,nj,-73.99782,40.8869,1237,6,13,7,116.7
003054200,nj,-74.00455,40.89947,1064,6,13,7,116.7
003054300,nj,-74.01711,40.90549,2271,7,15,8,114.3
003054400,nj,-74.02678,40.8913,1984,7,15,8,114.3
003054500,nj,-74.01403,40.88581,1513,6,14,8,133.3
003054601,nj,-74.01185,40.86785,992,7,14,7,100
003054602,nj,-74.00559,40.87608,1796,6,13,7,116.7
003055100,nj,-73.94567,40.91511,2368,6,14,8,133.3
